№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
35,Автобус,Остановка,"АВИАГОРОДОК, УНИВЕРСИТЕТ ГРАЖДАНСКОЙ АВИАЦИИ","АВИАГОРОДОК, УНИВЕРСИТЕТ ГРАЖДАНСКОЙ АВИАЦИИ","ул. Пилотов, Вертолётная ул","13, 13А, 263","59.817224680506,30.2937775"
36,Автобус,Остановка,АВИАЦИОННАЯ УЛ,"АВИАЦИОННАЯ УЛ. [3, 50]","Московский пр., Типанова ул","187, 226, 26, 263, 281, 3, 39, 50","59.8537830129512,30.3216476"
37,Автобус,Остановка,АВИАЦИОННАЯ УЛ,АВИАЦИОННАЯ УЛ,"Таллинское ш., Авиационная ул","145, 145Б, 147, 165, 245, 442, 458, 458Б","59.7523114643019,30.1051273"
38,Автобус,Остановка,АВТОБУСНЫЙ ПАРК № 7,АВТОБУСНЫЙ ПАРК № 7,"5-й Предпортовый проезд, Кубинская ул","3, 62","59.8338099494073,30.3110142"
39,Автобус,Остановка,АВТОВОКЗАЛ,АВТОВОКЗАЛ,"Обводного канала наб., Днепропетровская ул",74,"59.9137775657007,30.3578339"
40,Автобус,Остановка,АВТОВСКАЯ УЛ,АВТОВСКАЯ УЛ,"Краснопутиловская ул., Автовская ул","244, 66, 72","59.869849521362,30.2708015"
41,Автобус,Остановка,АГРОФИЗИЧЕСКИЙ ИНСТИТУТ,АГРОФИЗИЧЕСКИЙ ИНСТИТУТ,"Гражданский пр., Гжатская ул","295, 40, 60","59.9995539467581,30.3842983"
42,Автобус,Остановка,АЛАРЧИН МОСТ,АЛАРЧИН МОСТ,"Римского-Корсакова пр., Аларчин мост","2, 22, 6, 71","59.9207275428826,30.286274"
43,Автобус,Остановка,АЛЕКСАНДРИЯ,АЛЕКСАНДРИЯ,"Санкт-Петербургский проспект, Парковая улица","103, 162, 200, 201, 210, 278, 348, 359","59.875101603242,29.9439621"
44,Автобус,Остановка,АЛЛЕЯ ГОМОНТОВО,АЛЛЕЯ ГОМОНТОВО,Таллинское ш,487,"59.5756065099659,29.2819271"
45,Автобус,Остановка,АННИНСКОЕ ШОССЕ,АННИНСКОЕ ШОССЕ,"Таллинское ш., Аннинское ш","145, 145Б, 145Э, 147, 165, 245, 442, 458, 458Б, 481, 482, 482В, 484, 487","59.7803649297378,30.1334229"
46,Автобус,Остановка,"АНТАШИ, ПО ТРЕБОВАНИЮ","АНТАШИ, ПО ТРЕБОВАНИЮ",Таллинское шоссе,"482, 482В, 487","59.6350869802083,29.5602665"
47,Автобус,Остановка,"АПРАКСИН ПЕР., ""ТЕАТР НА САДОВОЙ""","АПРАКСИН ПЕР., ""ТЕАТР НА САДОВОЙ""","Садовая ул., Апраксин пер","181, 49","59.9295310398751,30.3246975"
48,Автобус,Остановка,"ПР. МЕТАЛЛИСТОВ, УГОЛ АПРЕЛЬСКОЙ УЛ","ПР. МЕТАЛЛИСТОВ, УГОЛ АПРЕЛЬСКОЙ УЛ","Металлистов пр., Апрельская ул","132, 222, 28","59.9648960309557,30.4183674"
49,Автобус,Остановка,АРСЕНАЛЬНАЯ УЛ,"АРСЕНАЛЬНАЯ УЛ. [106, 107, 133]","Комсомола ул., Арсенальная ул","106, 107, 133, 176, 234, 28, 37","59.9555376771378,30.3709393"
50,Автобус,Остановка,Б. КОНЮШЕННАЯ УЛ,"Б. КОНЮШЕННАЯ УЛ. [3, 27, 22, 24, 7]","Невский проспект, Большая Конюшенная улица","191, 22, 24, 27, 3, 7","59.936063696053,30.3215523"
51,Автобус,Остановка,БОЛЬШОЙ СМОЛЕНСКИЙ ПР,БОЛЬШОЙ СМОЛЕНСКИЙ ПР,"Бабушкина ул., Бол. Смоленский пр","114, 116, 264, 31, 58","59.8988935584118,30.419426"
52,Автобус,Остановка,БАЙКОНУРСКАЯ УЛ,БАЙКОНУРСКАЯ УЛ,"Парашютная улица, Байконурская улица","134А, 135, 171, 172, 208, 235, 267, 85, 9","60.0171713811856,30.2805996"
53,Автобус,Остановка,БАЛТИЙСКИЙ ВОКЗАЛ,БАЛТИЙСКИЙ ВОКЗАЛ,"пл. Балтийского вокзала, Митрофаньевское шоссе","205, 286, 43, 67","59.9079391450486,30.2999859"
54,Автобус,Остановка,БАССЕЙНАЯ УЛ. УГ. ПР. КОСМОНАВТОВ,БАССЕЙНАЯ УЛ. УГ. ПР. КОСМОНАВТОВ,"Бассейная ул., Космонавтов пр","286, 63, 72","59.864586322639,30.3466644"
55,Автобус,Остановка,"БЕГУНИЦЫ,1","БЕГУНИЦЫ,1",Таллинское ш,"487, 842","59.5869944585877,29.3239975"
56,Автобус,Остановка,"БЕГУНИЦЫ,2","БЕГУНИЦЫ,2",Таллинское ш,487,"59.5840103795804,29.3085499"
57,Автобус,Остановка,БЕЗЫМЯННАЯ УЛ,БЕЗЫМЯННАЯ УЛ,Таллиннское ш,"108, 145, 145Б, 145Э, 165, 195, 20, 245, 345, 481, 482, 482В, 484, 487, 81","59.8189999837908,30.1792831"
58,Автобус,Остановка,БЕЛГРАДСКАЯ УЛ,БЕЛГРАДСКАЯ УЛ,Славы пр,"11, 114, 116, 141, 225, 239, 246, 31, 59","59.8546679873666,30.3710442"
59,Автобус,Остановка,"БЕЛГРАДСКАЯ УЛ., 6","БЕЛГРАДСКАЯ УЛ., 6","Белградская ул., Витебский пр","12, 159, 95","59.8721568370495,30.35709"
60,Автобус,Остановка,БЕЛГРАДСКАЯ УЛ. УГ. УЛ. ТУРКУ,БЕЛГРАДСКАЯ УЛ. УГ. УЛ. ТУРКУ,"Белградская ул., Турку ул","12, 159, 95","59.8673808934326,30.3594646"
61,Автобус,Остановка,БЕЛООСТРОВСКАЯ УЛ,"БЕЛООСТРОВСКАЯ УЛ. [1, 33, 46А, 137]","Белоостровская ул., Торжковская ул","137, 237, 25, 267, 33, 46","59.9881454090752,30.3106289"
62,Автобус,Остановка,БЕЛОРУССКАЯ УЛ. ПО ХАСАНСКОЙ УЛ,"БЕЛОРУССКАЯ УЛ. ПО ХАСАНСКОЙ УЛ. [15, 174]","Хасанская, Белорусская","15, 153, 169, 174, 24","59.9354340984728,30.4986706"
63,Автобус,Остановка,БЕСТУЖЕВСКАЯ УЛ. 32,"БЕСТУЖЕВСКАЯ УЛ. 32 [137, 106, 123, 136]","Бестужевская улица, Замшина улица","106, 123, 136, 137, 264, 271","59.9821218910798,30.4130497"
64,Автобус,Остановка,БЕСТУЖЕВСКАЯ УЛ. УГ. ЗАМШИНОЙ УЛ,БЕСТУЖЕВСКАЯ УЛ. УГ. ЗАМШИНОЙ УЛ,"Бестужевская ул., Замшина ул","136, 137, 271","59.9830615363795,30.4085693"
65,Автобус,Остановка,БИОЛОГИЧЕСКИЙ ИНСТИТУТ,БИОЛОГИЧЕСКИЙ ИНСТИТУТ,Ораниенбаумское шоссе,"200, 348, 349","59.8959920097335,29.8439007"
66,Автобус,Остановка,"БКЗ ""ОКТЯБРЬСКИЙ""","БКЗ ""ОКТЯБРЬСКИЙ""","Лиговский пр., Ковенский пер","74, 76","59.9368951571512,30.3646107"
67,Автобус,Остановка,БОБЫЛЬСКАЯ ДОРОГА,БОБЫЛЬСКАЯ ДОРОГА,"улица Халтурина, Бобыльская дорога","349, 351А, 351Б, 353","59.8828033845847,29.8545418"
68,Автобус,Остановка,"БОГАТЫРСКИЙ ПР., УГ. КОЛОМЯЖСКОГО ПР","БОГАТЫРСКИЙ ПР., УГ. КОЛОМЯЖСКОГО ПР. [93, 172]","Богатырский пр., Коломяжский пр","122, 170, 172, 184, 235, 93","60.0006194535915,30.2967319"
69,Автобус,Остановка,"КОНСТАНТИНОВСКАЯ УЛ., НИКОЛАЕВСКАЯ БОЛЬНИЦА","КОНСТАНТИНОВСКАЯ УЛ., НИКОЛАЕВСКАЯ БОЛЬНИЦА","Санкт-Петербургский проспект, площадь Жертв Революции","103, 200, 204Э, 210, 343Э, 348, 350, 351А, 351Б, 356, 359, 463, 463А, 489","59.8785842496433,29.9199829"
70,Автобус,Остановка,Б. МОНЕТНАЯ УЛ,Б. МОНЕТНАЯ УЛ. [46А],"Каменноостровский проспект, Большая Монетная улица","46, 76","59.9615660318877,30.3158398"
71,Автобус,Остановка,БОЛЬШАЯ ПОРОХОВСКАЯ УЛ,БОЛЬШАЯ ПОРОХОВСКАЯ УЛ. [123],"Энергетиков пр., Дегтярева ул","123, 131, 137, 185, 271","59.9521827971915,30.4366322"
72,Автобус,Остановка,БОЛЬШАЯ ПОРОХОВСКАЯ УЛ,"БОЛЬШАЯ ПОРОХОВСКАЯ УЛ. [132, 174]","Металлистов пр., Большая Пороховская ул","132, 222","59.9528257566571,30.4216728"
73,Автобус,Остановка,БОЛЬШЕОХТИНСКОЕ КЛАДБИЩЕ,БОЛЬШЕОХТИНСКОЕ КЛАДБИЩЕ [15],"Большая Пороховская ул., Салтыковская дор","15, 28, 290","59.9531096124523,30.4406681"
74,Автобус,Остановка,БОЛЬШОЙ ПР. П.С,БОЛЬШОЙ ПР. П.С,"Ленина ул., Большой пр. П.С","1, 14, 185","59.9619079363278,30.3048744"
75,Автобус,Остановка,"БОЛЬШОЙ САМПСОНИЕВСКИЙ ПР.,70","БОЛЬШОЙ САМПСОНИЕВСКИЙ ПР.,70 [86]","Большой Сампсониевский пр., Александра Матросова ул",86,"59.9809635279859,30.3365345"
76,Автобус,Остановка,БОЛЬШОЙ СМОЛЕНСКИЙ ПР,БОЛЬШОЙ СМОЛЕНСКИЙ ПР. [8],"Седова ул., Бол. Смоленский пр","253, 31, 58, 8","59.8966497619916,30.4094505"
77,Автобус,Остановка,БОРОВАЯ УЛ,БОРОВАЯ УЛ,"Таллинское ш., Боровая ул","145, 145Б, 145Э, 147, 165, 245, 442, 458, 458Б, 481, 482, 482В, 484","59.7439978586614,30.0974369"
78,Автобус,Остановка,БОТАНИЧЕСКАЯ УЛ. 17,БОТАНИЧЕСКАЯ УЛ. 17,"Ботаническая ул., Солнечная ул","204Э, 210, 356Ш, 358, 359","59.8752730018565,29.8372097"
79,Автобус,Остановка,БРЕСТСКИЙ БУЛЬВАР,БРЕСТСКИЙ БУЛЬВАР,"Рихарда Зорге ул., Брестский бул","111, 142, 87","59.8503903929755,30.1931286"
80,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ,БУДАПЕШТСКАЯ УЛ,"ул. Олеко Дундича, ул. Будапештская","56, 96","59.829824882977,30.4064693"
81,Автобус,Остановка,"ПР. СЛАВЫ, УГОЛ БУДАПЕШТСКОЙ УЛ","ПР. СЛАВЫ, УГОЛ БУДАПЕШТСКОЙ УЛ","Славы пр., Будапештская ул","11, 114, 116, 141, 239, 282, 288","59.8562114910658,30.3807983"
82,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ,БУДАПЕШТСКАЯ УЛ,"Турку ул., Будапештская ул","12, 159, 95","59.8676037632014,30.3700104"
83,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ. 19,БУДАПЕШТСКАЯ УЛ. 19,Будапештская ул,"159, 31, 59, 74","59.8645897517041,30.3732605"
84,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ. 33,БУДАПЕШТСКАЯ УЛ. 33,Будапештская ул,"159, 31, 59, 74","59.8601591047476,30.3766308"
85,Автобус,Остановка,АЛЬПИЙСКИЙ ПЕР,АЛЬПИЙСКИЙ ПЕР,"Будапештская ул., Альпийский пер","159, 225, 246, 282, 288, 74","59.8524623678266,30.3831005"
86,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ. 5,БУДАПЕШТСКАЯ УЛ. 5,Будапештская ул,"59, 74","59.872564800432,30.3671913"
87,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ. УГ. М. БАЛКАНСКОЙ УЛ,БУДАПЕШТСКАЯ УЛ. УГ. М. БАЛКАНСКОЙ УЛ,"ул. Будапештская, ул. Малая Балканская","157, 159, 225, 326, 50, 54, 56, 74","59.8263336965469,30.4093609"
88,Автобус,Остановка,"БУДАПЕШТСКАЯ УЛ., УГОЛ ПР. СЛАВЫ","БУДАПЕШТСКАЯ УЛ., УГОЛ ПР. СЛАВЫ","Будапештская ул., Славы пр","159, 31, 59, 74","59.8568666009909,30.3791409"
89,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ. УГ. УЛ. ДИМИТРОВА,БУДАПЕШТСКАЯ УЛ. УГ. УЛ. ДИМИТРОВА,"Будапештская ул., Димитрова ул","159, 225, 246, 282, 288, 74","59.8487436984456,30.3865528"
90,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ. Д.104,БУДАПЕШТСКАЯ УЛ. Д.104,"ул. Будапештская, Шипкинский пер","225, 54, 56","59.8319015705463,30.4036694"
91,Автобус,Остановка,"БУЛЬВАР КРАСНЫХ КУРСАНТОВ,49","БУЛЬВАР КРАСНЫХ КУРСАНТОВ,49",ул. Красных курсантов,"349, 351Б","59.8820699584791,29.8671513"
92,Автобус,Остановка,БУЛЬВАР КРАСНЫХ ЗОРЬ,БУЛЬВАР КРАСНЫХ ЗОРЬ,"Бабушкина ул., Красных Зорь бул",11,"59.8724859507567,30.4472923"
93,Автобус,Остановка,БУЛЬВАР НОВАТОРОВ,БУЛЬВАР НОВАТОРОВ [114],"Подводника Кузьмина ул., Новаторов бул",114,"59.8446437612574,30.2636223"
94,Автобус,Остановка,БУЛЬВАР ТРУДЯЩИХСЯ,БУЛЬВАР ТРУДЯЩИХСЯ,"ул. Веры Слуцкой, бул. Трудящихся","196, 326, 327, 330, 337, 337А, 374, 386, 390, 396А, 475, 475А, 540","59.735651203393,30.5793285"
95,Автобус,Остановка,"СТ. МЕТРО ""ПРОСПЕКТ СЛАВЫ""","СТ. МЕТРО ""ПРОСПЕКТ СЛАВЫ""","Славы пр., Бухарестская ул","11, 114, 116, 141, 239, 288, 56, 57","59.8591953951907,30.3937035"
96,Автобус,Остановка,"СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""","СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""","Белы Куна ул., Бухарестская ул","31, 91, 95","59.8714643163182,30.3809547"
97,Автобус,Остановка,БУХАРЕСТСКАЯ УЛ. 118,БУХАРЕСТСКАЯ УЛ. 118 [56],ул. Бухарестская,"241, 56, 57","59.8468910697073,30.4052525"
98,Автобус,Остановка,"СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""","СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""","ул. Бухарестская, ул. Белы Куна","54, 91","59.8718825731383,30.3798046"
99,Автобус,Остановка,БУХАРЕСТСКАЯ УЛ. УГ. УЛ. О. ДУНДИЧА,БУХАРЕСТСКАЯ УЛ. УГ. УЛ. О. ДУНДИЧА [56],"ул. Бухарестская, ул. Олеко Дундича","56, 57","59.8335902854675,30.4187355"
100,Автобус,Остановка,"МАГАЗИН ""ГРАНАТ""","МАГАЗИН ""ГРАНАТ""",Бухарестская ул,"54, 91","59.8745359815449,30.3763103"
101,Автобус,Остановка,ВАГОНОРЕМОНТНЫЙ ЗАВОД,"ВАГОНОРЕМОНТНЫЙ ЗАВОД [8, 31, 95, 114, 116]","Седова ул., Дудко ул","114, 116, 31, 8, 95","59.8862098338605,30.4233437"
102,Автобус,Остановка,ВАРШАВСКАЯ УЛ,ВАРШАВСКАЯ УЛ. [72],"Бассейная ул., Варшавская ул","286, 36, 63, 72","59.8647131978123,30.3131714"
103,Автобус,Остановка,ВЕРБНАЯ УЛ. УГ. УЛ. РЕПИЩЕВА,ВЕРБНАЯ УЛ. УГ. УЛ. РЕПИЩЕВА,"Вербная ул., Репищева ул","127, 219, 40","60.0235434392362,30.280592"
104,Автобус,Остановка,ВЕСЕЛЬНАЯ УЛ,ВЕСЕЛЬНАЯ УЛ. [7],"Большой пр. В.О., Весельная ул","1, 128, 7","59.9282544722497,30.246212"
105,Автобус,Остановка,"ВИТЕБСКИЙ ПР.,109, ПО ТРЕБОВАНИЮ","ВИТЕБСКИЙ ПР.,109, ПО ТРЕБОВАНИЮ",Витебский пр,"186, 190, 196, 197, 342, 388","59.8209228361553,30.3794518"
106,Автобус,Остановка,"ВИТЕБСКИЙ ПР.,31","ВИТЕБСКИЙ ПР.,31 [72]","Витебский пр., Белградская ул",72,"59.8614039978315,30.3579369"
107,Автобус,Остановка,"ВИТЕБСКИЙ ПР.,63","ВИТЕБСКИЙ ПР.,63 [72]","Витебский пр., Орджоникидзе ул","116, 72","59.8454123235091,30.3661442"
108,Автобус,Остановка,"ВИТЕБСКИЙ ПР.,75","ВИТЕБСКИЙ ПР.,75 [72]","Витебский пр., Орджоникидзе ул","63, 72","59.8421320858654,30.3677864"
109,Автобус,Остановка,"ВИТИНО,1, ПО ТРЕБОВАНИЮ","ВИТИНО,1, ПО ТРЕБОВАНИЮ","Таллинское шоссе, Нарвское шоссе","482, 482В","59.6556346021504,29.7277164"
110,Автобус,Остановка,"ВИТИНО,2, ПО ТРЕБОВАНИЮ","ВИТИНО,2, ПО ТРЕБОВАНИЮ",Таллинское шоссе,"482, 482В, 487","59.654337157192,29.7141171"
111,Автобус,Остановка,ВОЗНЕСЕНСКИЙ ПР,ВОЗНЕСЕНСКИЙ ПР,"Садовая ул., переулок Бойцова","181, 262, 49, 50, 70","59.9236577374537,30.3107243"
112,Автобус,Остановка,ВОКЗАЛ,ВОКЗАЛ,"Железнодорожная улица, Ленинградская улица","187, 188, 273, 370, 371, 373, 377, 378, 380, 382, 383, 384, 545","59.7232633358148,30.4288826"
113,Автобус,Остановка,ПРИВОКЗАЛЬНАЯ ПЛ,ПРИВОКЗАЛЬНАЯ ПЛ,"ул. Октябрьская, Банковский переулок","192, 325, 326, 328, 330, 364, 366, 367, 369, 386, 390, 392, 544","59.7493145377724,30.6128502"
114,Автобус,Остановка,"ВОЛХОНСКОЕ ШОССЕ,4","ВОЛХОНСКОЕ ШОССЕ,4",Волхонское ш,"108, 147, 195","59.7842527923458,30.1977482"
115,Автобус,Остановка,"ВОЛХОНСКОЕ ШОССЕ,7","ВОЛХОНСКОЕ ШОССЕ,7",Волхонское ш,"108, 147, 195","59.781117787303,30.206665"
116,Автобус,Остановка,ВЫСОКОВОЛЬТНАЯ ЛИНИЯ,ВЫСОКОВОЛЬТНАЯ ЛИНИЯ [476],,476,"59.8403305626319,30.5396309"
117,Автобус,Остановка,ГАККЕЛЕВСКАЯ УЛ,ГАККЕЛЕВСКАЯ УЛ,"Оптиков ул., Мебельная ул","101, 166, 279","59.9956331325499,30.251297"
118,Автобус,Остановка,"ГАККЕЛЕВСКАЯ УЛ., УГОЛ БОГАТЫРСКОГО ПР","ГАККЕЛЕВСКАЯ УЛ., УГОЛ БОГАТЫРСКОГО ПР","Гаккелевская ул., Богатырский пр","112, 126, 172, 223, 235, 258","60.0016985857861,30.2561302"
119,Автобус,Остановка,ГЕЛЬСИНГФОРССКАЯ УЛ,ГЕЛЬСИНГФОРССКАЯ УЛ. [86],"Большой Сампсониевский пр., Гельсингфорсская ул",86,"59.9741902221491,30.3395405"
120,Автобус,Остановка,"ПР. АВИАКОНСТРУКТОРОВ, УГОЛ ГЛУХАРСКОЙ УЛ","ПР. АВИАКОНСТРУКТОРОВ, УГОЛ ГЛУХАРСКОЙ УЛ","Авиаконструкторов пр., Глухарская ул","170, 171, 182, 258, 79, 85","60.0292250364864,30.2176514"
121,Автобус,Остановка,"ГЛУХОВО, ЛЕСХОЗ, ПО ТРЕБОВАНИЮ","ГЛУХОВО, ЛЕСХОЗ, ПО ТРЕБОВАНИЮ",Нарвское шоссе,"482, 482В, 487","59.664518681039,29.7763329"
122,Автобус,Остановка,ГОМОНТОВО,ГОМОНТОВО,Таллинское ш,487,"59.5728600991598,29.2671223"
123,Автобус,Остановка,"ГОСТИЛИЦКОЕ ШОССЕ, УГОЛ ЧИЧЕРИНСКОЙ УЛ","ГОСТИЛИЦКОЕ ШОССЕ, УГОЛ ЧИЧЕРИНСКОЙ УЛ","Чичеринская улица, Гостилицкое шоссе","204Э, 352, 356, 356Ш, 463, 463А, 489","59.870175229418,29.8496113"
124,Автобус,Остановка,"ГОСТИНИЦА ""ПРИБАЛТИЙСКАЯ""","ГОСТИНИЦА ""ПРИБАЛТИЙСКАЯ""","Нахимова ул., Кораблестроителей ул","100, 128, 151, 249, 41, 7","59.9397452339055,30.2196255"
125,Автобус,Остановка,"ГОСТИНИЦА ""САНКТ-ПЕТЕРБУРГ""","ГОСТИНИЦА ""САНКТ-ПЕТЕРБУРГ"" [49]","Финляндский пр., Оренбургская ул",28,"59.9581980846033,30.3413868"
126,Автобус,Остановка,ГРАЖДАНСКАЯ УЛ,ГРАЖДАНСКАЯ УЛ,"проспект Ленина, улица Ломоносова","145, 145Б, 147, 165, 245, 442, 458, 458Б, 481, 482, 482В, 484","59.7477144611925,30.1022358"
127,Автобус,Остановка,"ПР. НЕПОКОРЁННЫХ, УГОЛ ГРАЖДАНСКОГО ПР","ПР. НЕПОКОРЁННЫХ, УГОЛ ГРАЖДАНСКОГО ПР","проспект Непокорённых, Гражданский пр","123, 138, 222, 250, 271, 275, 40, 80","59.9964562688418,30.3794518"
128,Автобус,Остановка,ГРАЖДАНСКИЙ ПР. УГ. ПР. ЛУНАЧАРСКОГО,"ГРАЖДАНСКИЙ ПР. УГ. ПР. ЛУНАЧАРСКОГО [102, 103, 178, 93, 153]","Луначарского пр., Гражданский пр","102, 153, 178, 272, 40","60.0261710861131,30.4096375"
129,Автобус,Остановка,ГРАЖДАНСКИЙ ПР,ГРАЖДАНСКИЙ ПР,"Гражданский пр., Непокоренных пр","295, 40, 60","59.9967978131586,30.3815975"
130,Автобус,Остановка,ГРАЖДАНСКИЙ ПР. УГ. СЕВЕРНОГО ПР,ГРАЖДАНСКИЙ ПР. УГ. СЕВЕРНОГО ПР. [40],"Северный проспект, Северная площадь","270, 40, 94","60.0229325667196,30.404192"
131,Автобус,Остановка,"ГРАЖДАНСКИЙ ПР.,90","ГРАЖДАНСКИЙ ПР.,90 [93, 102, 103, 153, 178]",Гражданский пр,"102, 153, 177, 178, 206, 295, 60, 93","60.017185034471,30.40205"
132,Автобус,Остановка,ГРУЗОВОЙ ПРОЕЗД,ГРУЗОВОЙ ПРОЕЗД,"ул. Софийская, Складской пр-д","326, 96","59.8429144313083,30.4337997"
133,Автобус,Остановка,ОГОРОДНАЯ УЛ,ОГОРОДНАЯ УЛ,"Сапёрная улица, Огородная улица","186, 252, 273, 376, 382","59.7013891696198,30.3979836"
134,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНЫЙ ПР., УГ. ПР. БОЛЬШЕВИКОВ","ДАЛЬНЕВОСТОЧНЫЙ ПР., УГ. ПР. БОЛЬШЕВИКОВ [8]","Большевиков пр., Дальневосточный пр","285, 4, 8","59.8770315005998,30.4793777"
135,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР,"ДАЛЬНЕВОСТОЧНЫЙ ПР. [118, 140, 12]","Дальневосточный пр., ул. Новосёлов","118, 12, 285, 97","59.8836773057745,30.4687023"
136,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНЫЙ ПР., УГ. УЛ. ТЕЛЬМАНА","ДАЛЬНЕВОСТОЧНЫЙ ПР., УГ. УЛ. ТЕЛЬМАНА [12]","ул. Тельмана, Дальневосточный пр","118, 12, 285, 97","59.890095638353,30.4654675"
137,Автобус,Остановка,ДАЧНАЯ УЛ,ДАЧНАЯ УЛ,Таллинское ш,"145, 145Б, 147, 165, 245","59.7689290325268,30.1198883"
138,Автобус,Остановка,ДАЧНЫЙ ПР,ДАЧНЫЙ ПР,"Ветеранов пр., Дачный пр","130, 145, 145Б, 203, 246","59.8453162541981,30.2509594"
139,Автобус,Остановка,ДВИНСКАЯ УЛ. 15,"ДВИНСКАЯ УЛ. 15 [22, 49, 65, 66, 70, 70, 71, 71]","Двинская ул., Шотландская ул","22, 263, 290, 35, 43, 49, 65, 66, 67, 70, 71","59.9090726665602,30.2421074"
140,Автобус,Остановка,ДВИНСКАЯ УЛ. 9,"ДВИНСКАЯ УЛ. 9 [22, 49, 65, 66, 70, 70, 71, 71]","Двинская ул., Виндавская ул","22, 263, 290, 35, 43, 49, 65, 66, 67, 70, 71","59.9090384217642,30.2487812"
141,Автобус,Остановка,"ДВОРЕЦ СПОРТИВНЫХ ИГР ""ЗЕНИТ""","ДВОРЕЦ СПОРТИВНЫХ ИГР ""ЗЕНИТ"" [178]",Бутлерова ул,"178, 250, 61","60.0035528351515,30.3981056"
142,Автобус,Остановка,ДВОРЕЦ ТВОРЧЕСТВА ЮНЫХ,"ДВОРЕЦ ТВОРЧЕСТВА ЮНЫХ [7, 3, 27, 22, 24]","Невский пр., пл. Островского","191, 24, 27","59.9335897193826,30.3392773"
143,Автобус,Остановка,ДВОРЦОВАЯ ПЛ,ДВОРЦОВАЯ ПЛ,"Дворцовый проезд, Адмиралтейский проезд","10, 191, 24, 7","59.9387701451752,30.3113308"
144,Автобус,Остановка,ДЕГТЯРНАЯ УЛ,ДЕГТЯРНАЯ УЛ. [15],"ул. 8-я Советская, ул. Дегтярная",15,"59.9361629250161,30.3755207"
145,Автобус,Остановка,"ДЕР. НОВОСАРАТОВКА, 166","ДЕР. НОВОСАРАТОВКА,166 [476]",,476,"59.8426090442661,30.5277596"
146,Автобус,Остановка,"ДЕР. НОВОСАРАТОВКА, 40","ДЕР. НОВОСАРАТОВКА,40 [476]",КАД,476,"59.8539545214595,30.5052681"
147,Автобус,Остановка,"ДЕР. НОВОСАРАТОВКА, ПОКРОВСКАЯ ДОРОГА","ДЕР. НОВОСАРАТОВКА, ПОКРОВСКАЯ ДОРОГА [476]",,476,"59.8470900607003,30.5147762"
148,Автобус,Остановка,"ДЕР. НОВОСАРАТОВКА, ШКОЛА","ДЕР. НОВОСАРАТОВКА, ШКОЛА [476]",,476,"59.8438991996537,30.5235214"
149,Автобус,Остановка,ДЕР. ЩЕРБИНКА,ДЕР. ЩЕРБИНКА [476],,476,"59.788504516046,30.682785"
150,Автобус,Остановка,ДЕТСКАЯ УЛ,"ДЕТСКАЯ УЛ. [1, 7]","Большой пр. В.О., Детская ул","1, 128, 262, 7","59.929702157807,30.2511978"
151,Автобус,Остановка,УЛ. ГЕНЕРАЛА ХАЗОВА,УЛ. ГЕНЕРАЛА ХАЗОВА,Генерала Хазова ул,"187, 342, 377","59.7371761294094,30.3937035"
152,Автобус,Остановка,ПРИЛУКСКАЯ УЛ,ПРИЛУКСКАЯ УЛ,"Днепропетровская ул., Прилукская ул",74,"59.9077028471702,30.3555737"
153,Автобус,Остановка,ДНЕПРОПЕТРОВСКАЯ УЛ. 65,ДНЕПРОПЕТРОВСКАЯ УЛ. 65,"Днепропетровская ул., Курская ул",74,"59.9102712121673,30.3572788"
154,Автобус,Остановка,ДОЛГООЗЕРНАЯ УЛ,ДОЛГООЗЕРНАЯ УЛ. [127],"Комендантский пр., Долгоозёрная ул","127, 127М, 135, 171, 85","60.0172840206216,30.2486172"
155,Автобус,Остановка,ДОРОГА В БУЯНИЦЫ,ДОРОГА В БУЯНИЦЫ,Таллинское ш,487,"59.5594811129827,29.1969376"
156,Автобус,Остановка,ДОРОГА В ДЕР. РЫЖИКИ,ДОРОГА В ДЕР. РЫЖИКИ,Колтушское ш,485,"59.9047883683955,30.6710606"
157,Автобус,Остановка,"ДОРОГА В ДЕР. ""ТРУДОВИК"", ПО ТРЕБОВАНИЮ","ДОРОГА В ДЕР. ""ТРУДОВИК"", ПО ТРЕБОВАНИЮ",Нарвское шоссе,"482, 482В, 487","59.660982582091,29.7570267"
158,Автобус,Остановка,ДОРОГА В НЕГОДИЦЫ,ДОРОГА В НЕГОДИЦЫ,Таллинское ш,487,"59.560256249783,29.2242184"
